year,country,cluster,pop,life_expect,fertility
2000,Afghanistan,A,23898198,42.129,7.4792
2000,Argentina,D,37497728,74.34,2.35
2000,Aruba,D,69539,73.451,2.124
2000,Australia,E,19164620,80.37,1.756
2000,Austria,B,8113413,78.98,1.382
2000,Bahamas,D,290075,71.068,2.1111
2000,Bangladesh,A,130406594,62.013,3.224
2000,Barbados,D,273483,75.97,1.5
2000,Belgium,B,10263618,78.32,1.638
2000,Bolivia,D,8152620,63.883,3.9585
2000,Brazil,D,175552771,71.006,2.345
2000,Canada,D,31278097,79.77,1.522
2000,Chile,D,15153450,77.86,2
2000,China,E,1262645000,72.028,1.7
2000,Colombia,D,39685655,71.682,2.4705
2000,Costa Rica,D,3710558,78.123,2.2815
2000,Croatia,B,4410830,74.876,1.348
2000,Cuba,D,11134273,77.158,1.63
2000,Dominican Republic,D,8385828,70.847,2.95
2000,Ecuador,D,12505204,74.173,2.8175
2000,Egypt,F,70492342,69.806,3.174
2000,El Salvador,D,6122515,70.734,2.883
2000,Finland,B,5168595,78.37,1.754
2000,France,B,59381628,79.59,1.8833
2000,Georgia,B,4777209,70.476,1.478
2000,Germany,B,82187909,78.67,1.346
2000,Greece,B,10559110,78.256,1.277
2000,Grenada,D,89312,67.746,2.429
2000,Haiti,D,7306302,58.137,4
2000,Hong Kong,E,6658720,81.495,0.94
2000,Iceland,B,281043,80.5,1.993
2000,India,A,1007702000,62.879,3.1132
2000,Indonesia,E,206265000,68.588,2.3761
2000,Iran,F,65660289,69.451,2.124
2000,Iraq,F,22675617,57.046,4.858
2000,Ireland,B,3791690,77.783,1.969
2000,Israel,F,5842454,79.696,2.906
2000,Italy,B,57719337,80.24,1.286
2000,Jamaica,D,2615467,72.047,2.628
2000,Japan,E,126699784,82,1.291
2000,Kenya,C,29985839,50.992,5
2000,South Korea,E,21647682,66.662,1.9173
2000,North Korea,E,47351083,77.045,1.242
2000,Lebanon,F,3578036,71.028,2.319
2000,Mexico,D,99926620,74.902,2.4005
2000,Netherlands,B,15907853,78.53,1.726
2000,New Zealand,E,3819762,79.11,1.964
2000,Nigeria,C,114306700,46.608,5.845
2000,Norway,B,4492400,79.05,1.801
2000,Pakistan,A,146342958,63.61,3.9936
2000,Peru,D,25979722,69.906,2.7005
2000,Philippines,E,79739825,70.303,3.5436
2000,Poland,B,38654164,74.67,1.251
2000,Portugal,B,10335597,77.29,1.454
2000,Rwanda,C,7507056,43.413,6.01
2000,Saudi Arabia,F,23153090,71.626,3.81
2000,South Africa,C,44066197,53.365,2.802
2000,Spain,B,40016081,79.78,1.287
2000,Switzerland,B,7266920,80.62,1.415
2000,Turkey,B,65666677,70.845,2.23
2000,United Kingdom,B,59522468,78.471,1.695
2000,United States,D,282338631,77.31,2.038
2000,Venezuela,D,23542649,72.766,2.723